code;name;sell_price;buy_price
PG-00015;"PEDESTAL PARA CARRETE DE 1.1/2""";63900;0
PG-00016;MANGUERIN DE ALIMENTACION;12382;0
PG-00017;TERMINAL HE DE ALUMINIO;2556;0
PG-00018;"COPLA DE 1""";1136;0
PG-00019;"ABRAZADERA DE 1""";2045;0
PG-00020;"PITON OSSFIRE DE 1""";15336;0
PG-00021;"PITON TONCHE DE 1.1/2""";44304;0
PG-00022;"VALVULA CARRETE TONCHE DE 1.1/2""";71568;0
MB-00023;"MANGUERA CONTA INCENDIO DE 1.1/2"" COLOR BLANCO Y UNIONES STORZ";53979;0
MB-00024;"MANGUERA CONTA INCENDIO DE 2"" COLOR BLANCO Y UNIONES STORZ";67629;0
MB-00025;"MANGUERA VEJAR COVER-RED DE 1.1/2"" X 25 MT";85654;0
MB-00026;"MANGUERA VEJAR COVER-RED DE 1.1/2"" X 30 MT";102785;0
MB-00027;"MANGUERA VEJAR COVER-RED DE 2"" X 25 MT";101547;0
MB-00028;"MANGUERA VEJAR COVER-RED DE 2"" X 30 MT";122688;0
MB-00029;"MANGUERA VEJAR COVER-RED DE 2.1/2"" X 25 MT";148248;0
MB-00030;"MANGUERA VEJAR COVER-RED DE 2.1/2"" X 30 MT";177898;0
MB-00031;"MANGUERA VEJAR COVER-RED DE 3"" X 25 MT";179488;0
MB-00032;"MANGUERA VEJAR COVER-RED DE 3"" X 30 MT";215386;0
MB-00033;"MANGUERA COVER-YELLOW 1.1/2""";85654;0
MB-00034;"MANGUERA COVER-YELLOW 2""";101547;0
MB-00035;"MANGUERA COVER-YELLOW 2.1/2""";148248;0
MB-00036;"MANGUERA COVER-YELLOW 3""";179488;0
EQ-00037;EXTINTORES POLVO QUIMICO SECO DE 1Kg TIPO A.B.C. 90% 1A : 2 BC;8066;0
EQ-00038;EXTINTORES POLVO QUIMICO SECO DE 2 Kg 90% A.B.C 2A : 2 BC;13064;0
EQ-00039;EXTINTORES POLVO QUIMICO SECO DE 4 Kg 90% A.B.C 4A : 10 BC;20221;0
EQ-00040;EXTINTORES POLVO QUIMICO SECO DE 6 Kg 40% A.B.C 6A : 20 BC;20448;0
EQ-00041;EXTINTORES POLVO QUIMICO SECO DE 6 Kg 90% A.B.C 10A : 40 BC;23856;0
EQ-00042;EXTINTORES POLVO QUIMICO SECO DE 10 Kg 40% A.B.C 10A : 30 BC;27264;0
EQ-00043;EXTINTORES POLVO QUIMICO SECO DE 10 Kg 40% A.B.C 10A : 40 BC;33512;0
EQ-00044;EXTINTORES POLVO QUIMICO SECO DE 25 Kg 90% A.B.C ;215840;0
EQ-00045;EXTINTORES POLVO QUIMICO SECO DE 50 Kg 90% A.B.C 20A : 40 BC;295360;0
EQ-00046;EXTINTOR DE CO2 DE 2 Kg 2 BC;36352;0
EQ-00047;EXTINTOR DE CO2 DE 6 Kg 10:BC;55664;0
EQ-00048;EXTINTOR DE CO2 DE 10 Kg 10:BC;164720;0
EQ-00059;EXTINTOR PORTATIL HALOCLEAN AL 100% DE 1.5 Kg ABC;107920;0
EQ-00060;EXTINTOR PORTATIL HALOCLEAN AL 100% DE 2.5 Kg ABC;160176;0
EQ-00061;EXTINTOR PORTATIL HALOCLEAN AL 100% DE 5.5 Kg ABC;318080;0
EQ-00062;EXTINTOR PORTATIL HALOCLEAN AL 100% DE 8 Kg ABC;510064;0
GE-00010;GABINETE CON PUERTA VIDRIADA 4 Kg-6 Kg;24992;0
GE-00011;GABINETE CON PUERTA VIDRIADA 4 Kg-6 Kg CON CHAPA Y LLAVE;29536;0
GE-00012;GABINETE CON PUERTA VIDRIADA 10 Kg-CO2 DE 2 Kg Medidas 750 x 280 x 220;27264;0
GE-00013;GABINETE CON PUERTA VIDRIADA10 Kg-CO2 DE 2 Kg CON CHAPA Y LLAVE  Medidas 750 x 280 x 220;34080;0
GE-00014;GABINETE CON PUERTA VIDRIADA CO2 DE 6 Kg CON CHAPA Y LLAVE Medidas 1000 x 400 x 300;48280;0
GE-00015;GABINETE CON PUERTA VIDRIADA CO2 DE 6 Kg Medidas 1000 x 400 x 300;55664;0
GE-00020;GABINETE EXTINTOR CON DE MALLA 4 kg. y 06 kg. MEDIDAS  700 x 260 x 2000;28400;0
GE-00021;GABINETE EXTINTOR CON DE MALLA  PQS 10 kg. y CO2 02 kg MEDIDAS  750 x 280 x 220;29536;0
GE-00022;GABINETE EXTINTOR CON DE MALLA   CO2 6 kg MEDIDAS  1000 x 400 x 300;52256;0
GE-00030;GABINETE EXTINTOR GUILLOTINA 04 kg. y 06 kg. MEDIDAS 700 x 260 x 201;20448;0
GE-00031;GABINETE EXTINTOR GUILLOTINA de 10 kg. y CO2 02 kg. MEDIDAS 750 x 280 x 220;26128;0
